activity_name,religious_group_name,region,note,month,day,activity_id,date
¤¤¤¸´¶´ç,¼w©M®c,»O¥_¥«¤hªL°Ï,,7,29,1, 2022-07-29
¤Ñ¤W¸t¥À¸t½Ï,¼w©M®c,»O¥_¥«¤hªL°Ï,,3,23,2, 2022-03-23
¤g¦a¤½,¼w©M®c,»O¥_¥«¤hªL°Ï,,2,2,3, 2022-02-02
²½¨å,¤¤±[ºÖ¶¶®c,»O¥_¥«ªQ¤s°Ï,,2,2,4, 2022-02-02
¤T¤d¦òÄb,°]¹Îªk¤H¥xÆW¬Ù¥x«n¥«´ïµM¦x,»O«n¥«¤¤¦è°Ï,¥¿¤ëªì¤@~ªì¤­,1,1,5, 2022-01-01
±ç¬ÓÄ_Äbªk·|,°]¹Îªk¤H¥xÆW¬Ù¥x«n¥«´ïµM¦x,»O«n¥«¤¤¦è°Ï,,2,19,6, 2022-02-19
¯D¦òªk·|,°]¹Îªk¤H¥xÆW¬Ù¥x«n¥«´ïµM¦x,»O«n¥«¤¤¦è°Ï,,4,8,7, 2022-04-08
Á|¦æ¦ò¤C,°]¹Îªk¤H¥xÆW¬Ù¥x«n¥«´ïµM¦x,»O«n¥«¤¤¦è°Ï,¤Q¤@¤ë¤Q¤@~¤Q¤C¤é,11,11,8, 2022-11-11
¦ò¦¨¹D¤é,°]¹Îªk¤H¥xÆW¬Ù¥x«n¥«´ïµM¦x,»O«n¥«¤¤¦è°Ï,,12,8,9, 2022-12-08
²½¨å,«O»ö®c,»O¥_¥«¸UµØ°Ï,,5,15,10, 2022-05-15
¼q¼y,¤¯µ½°óºÖ¼w°ó,¶³ªL¿¤»O¦è¶m,,3,24,11, 2022-03-24
¬K¸`¬èºÖªk·|,¥ú©ú¤ý¦x,°ª¶¯¥«¤ºªù°Ï,Å@¼¯¦@­×¬èºÖ,1,3,12, 2022-01-03
Äc¬Pªk·|,¥ú©ú¤ý¦x,°ª¶¯¥«¤ºªù°Ï,«ù»w¯u¨¥º[Å@¼¯¬èºÖ,1,7,13, 2022-01-07
ªÅ®ü¤j®v¯Iºn¬ö©À·|,¥ú©ú¤ý¦x,°ª¶¯¥«¤ºªù°Ï,¬ö©ÀªÅ®ü¤j®v,3,21,14, 2022-03-21
ºÖ¹Ø¶ð¬K²½,¥ú©ú¤ý¦x,°ª¶¯¥«¤ºªù°Ï,ºÖ¹Ø¶ð°ó²½ªÁ,3,24,15, 2022-03-24
ÃÄ®vªk·|º[¯D¦ò¤j¨å,¥ú©ú¤ý¦x,°ª¶¯¥«¤ºªù°Ï,»wÃÄ®v¸gº[Å@¼¯¬èºÖ¡A¯D¦ò¼y¯¬ÄÀ­{¦ò¯ª¸t½Ï,4,10,16, 2022-04-10
ªÅ®ü¤j®v½Ï¥Í¬ö©À·|,¥ú©ú¤ý¦x,°ª¶¯¥«¤ºªù°Ï,¬ö©ÀªÅ®ü¤j®v,6,15,17, 2022-06-15
®©¥ú¤W®v¯Iºn¬ö©À·|,¥ú©ú¤ý¦x,°ª¶¯¥«¤ºªù°Ï,¬ö©À®©¥ú¤W®v,6,22,18, 2022-06-22
Äc¬Pªk·|º[ª»Äõ¬Ö·|,¥ú©ú¤ý¦x,°ª¶¯¥«¤ºªù°Ï,«ù»w¯u¨¥º[Å@¼¯¬èºÖ¡A¥H·ì¦÷±Kªk´¶«×¤`ÆF,7,8,19, 2022-07-08
ºÖ¹Ø¶ð¬î²½,¥ú©ú¤ý¦x,°ª¶¯¥«¤ºªù°Ï,ºÖ¹Ø¶ð°ó²½ªÁ,12,15,20, 2022-12-15
¶}¤s¬ö©À¤é,¥ú©ú¤ý¦x,°ª¶¯¥«¤ºªù°Ï,°l«ä®©¥ú¤W®v¨Ã¬ö©À½Ï¨°,11,3,21, 2022-11-03
²½¨å,·O¯è¦x,ª÷ªù¿¤ª÷¨FÂí,,3,8,22, 2022-03-08
²½¨å,·çªÚ«C¶³·µ,·s¥_¥«·çªÚ°Ï,,4,26,23, 2022-04-26
·¨©²¸t¤ý,¤j¼w¤s·¨©²¼q,°ò¶©¥«¤¤¤s°Ï,¥¼¶ñ,5,18,24, 2022-05-18
²½¨å,¥È¿³®c,»O¤¤¥«¤j¨{°Ï,,3,3,25, 2022-03-03
¥D¯«¸t½Ï,¤Ó¤¸®c,·s¦Ë¿¤Ãö¦èÂí,,1,3,26, 2022-01-03
¤¤¤¸´¶´ç,¤Ó¤¸®c,·s¦Ë¿¤Ãö¦èÂí,,7,12,27, 2022-07-12
Ãö«Ò¸t¤é,¤Ñ¿ü°ó,«ÌªF¿¤ªLÃä¶m,,6,24,28, 2022-06-24
°| ¼y,µL·¥²V¤¸¤Ñ¼Ï°|,«n§ë¿¤«n§ë¥«,,4,12,29, 2022-04-12
¤T¤s°ê¤ý¸t½Ï,¼sÆF®c,¹ü¤Æ¿¤¦Ë¶í¶m,,2,25,30, 2022-02-25
¥È¤Ñ¤W«Ò¸t&#35476;,¤j¦w®c,¶³ªL¿¤ªê§ÀÂí,,3,3,31, 2022-03-03
²½¨å,¤¤Ãc²»¥ú¦x,®ç¶é¥«¤¤Ãc°Ï,,4,8,32, 2022-04-08
µµ©²©h®Q¤d¬î¤é,¼y¶¶®c,»O¤¤¥«¤j¨{°Ï,¤G¼Ó¥D¯«µµ©²©h®Q(¤E¤Ñ¥È¤k)¥Í¤é,1,8,33, 2022-01-08
¦¶©²¤d·³¤d¬î¤é,¼y¶¶®c,»O¤¤¥«¤j¨{°Ï,¤T©²¤ý·Ý¤§¤j¤ý---¦¶©²¤ý·Ý¥Í¤é,10,3,34, 2022-10-03
§õ©²¤d·³¤d¬î¤é,¼y¶¶®c,»O¤¤¥«¤j¨{°Ï,¤T©²¤ý·Ý¤§¤G¤ý---§õ©²¤ý·Ý¥Í¤é,8,16,35, 2022-08-16
¦À©²¤d·³¤d¬î¤é,¼y¶¶®c,»O¤¤¥«¤j¨{°Ï,¤T©²¤ý·Ý¤§¤T¤ý---¦À©²¤ý·Ý¥Í¤é,6,18,36, 2022-06-18
¤Ó¤l¤¸«Ó¤d¬î¤é,¼y¶¶®c,»O¤¤¥«¤j¨{°Ï,¤Ó¤l·Ý¤½§õ­þ¦\¥Í¤é,9,9,37, 2022-09-09
²½¨å,¦æ¼w®c,·s¥_¥«¾ðªL°Ï,,2,19,38, 2022-02-19
²½¨å,¶}»O¤Ñ¦Z®c,·s¥_¥«¤K¨½°Ï,,10,15,39, 2022-10-15
¬è¦wëÐ¹Ò,·Å¦w®c,¹ü¤Æ¿¤½u¦è¶m,¹A¾ä2¤ëªìªþªñ¡G¬°¬è¯«®¦¯E¿º¡AÅý²³µ½«H¤j¼w¦P»X®¦¿A¡AÂó®a¥­¦w¡A·|Á|¿ì§ø¤º§L°¨©wÀç,2,1,40, 2022-02-01
·Å©²¤d·³¸t½Ï¤d¬î,·Å¦w®c,¹ü¤Æ¿¤½u¦è¶m,¬°¥»¼q¥D¯«¸t½Ï¡A°£¤FÁ|¿ì²±¤jªº²½¨å¬¡°Ê¥~¡A¥çÁÜ½Ð¤Í®c¨ì¼q¤¤¬Û¤¬¥æ¬y,8,12,41, 2022-08-12
º¹­x¬¡°Ê,·Å¦w®c,¹ü¤Æ¿¤½u¦è¶m,¹A¾äªì¤@¤Q¤­¤Î¯«©ú½Ï¨°¡G¬°¤F·PÁÂ·Å¦w®c¼q¸Ì½Ñ¦ì²³¯«´Lªº§È¦ö¤Î§ø²ø¤º§L°¨ªº«O¦ö¡A©óªì¤@¡B¤Q¤­¤Î¯«©ú½Ï¨°©Î¥V¦Üµ¥¯S§O¸`¤é¡A¥Ñ¸q¤u²iµN¬ü­¹²½«ô¥H¼¢³Ò²³¥P´L¤Î§L°¨ªº¨¯³Ò¡A²½ªÁ§¹¦¨«á§ø¸Ìªº©~¥Á·|¨ì¼q¸Ì¦@¨É¬ü­¹¤Î¶i¦æ±¡·P¥æ¬y,1,1,42, 2022-01-01
´¶´ç,·Å¦w®c,¹ü¤Æ¿¤½u¦è¶m,¥»§øªº´¶´ç¬°¦¹¤é¡A¥Ñ©e­û¤Î«H®{¨Ñ¾i´¶®à©Î²½«~µ¹´¶´ç¤½¤Î¦n¥S§Ì¬è¨D¤j®aªº¥­¦w,7,19,43, 2022-07-19
¦¬§L¬¡°Ê,·Å¦w®c,¹ü¤Æ¿¤½u¦è¶m,¥V¦Ü¤é¡GÁ|¿ì²½ªÁ¬¡°Ê·PÁÂ§L°¨¤@¦~¨Ó¹ï§ø²øªº«O¦ö,12,22,44, 2022-12-22
¥É¬Ó¤j«Ò¸t½Ï,ºÖ¼w¯¨,»O«n¥«¤¤¦è°Ï,¤½ºt³ÈÀwÀ¸¡B«ô¤Ñ¤½¡B¿ïÄl¥D1¤H¡BÀY®a4¤H,1,9,45, 2022-01-09
ºÖ¼w¥¿¯«¸t½Ï,ºÖ¼w¯¨,»O«n¥«¤¤¦è°Ï,¤G¤ë¤@¤é©]·x¹Ø¡A¸u½Ðºq¥JÀ¸©Î°ê¼Ö¹Î©Î±d¼Ö¶¤©Î¼½©ñ¹q¼v¡C¤G¤ë¤G¤é¦­±á¥Ñ¹D¤h¹Î(5¦ì)»w¸g¯¬¹Ø¦æ¤TÄmÂ§¡A¤¤¤È11ÂI³Æ¦³¹ØÄÑ©Û«Ý«H®{¡C¦P®É¤]Á|¿ì´¶´ç¡A³q±`¨Ñ«~Â\¦Ü55®à¡A¥Ñ¹Ò¤º²³çE¤á¬ù250¤á´£¨Ñ¨Ñ«~ÁÙ¦³¤^Àt¬¡°Ê¡C,2,2,46, 2022-02-02
µù¥Í®Q®Q¸t½Ï,ºÖ¼w¯¨,»O«n¥«¤¤¦è°Ï,·í¤Ñ¤¤¤È«H®{±N¨Ñ«~¶°¤¤©ó¼q«e¡A¤U¤È5ÂIµ²§ô¡C,3,20,47, 2022-03-20
¤¤¤¸´¶´ç,ºÖ¼w¯¨,»O«n¥«¤¤¦è°Ï,·í¤Ñ¤¤¤È11ÂI¹Ò¤º«H®{±N¨Ñ«~¶°¤¤©ó¼q«e¡A¤U¤È2ÂI¹D¤h»w¸g¶W«×¤`»î¡C,7,15,48, 2022-07-15
³]Ãç,©¾¸q®c,ª÷ªù¿¤ª÷´òÂí,,5,13,49, 2022-05-13
§õ©²¤d·³¸t½Ï,­¸¤ý®c,¶³ªL¿¤¥|´ò¶m,¶i­»(«nóËñÊ),4,26,50, 2022-04-26
¿½©²¤Ó³Å¸t½Ï,­¸¤ý®c,¶³ªL¿¤¥|´ò¶m,¶i­»(¥ú¤j¼d),5,17,51, 2022-05-17
¤Q¤ë¥­¦w¼y¨å,­¸¤ý®c,¶³ªL¿¤¥|´ò¶m,¤jÀ¸(¬è¯««O¦ö¥­¦w),10,15,52, 2022-10-15
¤¤¾Â¤¸«Ó,¤¤Àç¼yºÖ®c,»O«n¥«¤UÀç°Ï,¸t½Ï¤d¬î,9,9,53, 2022-09-09
²½¨å,ªk«B¤s´¶©y­b,»O¥_¥«¤hªL°Ï,,4,8,54, 2022-04-08
©þ¤Ñ¤j«Ò¸t½Ï,°®¤¸®c,»O«n¥«¦w©w°Ï,º¹½à¤­Àç­x¤h(½à§L),3,15,55, 2022-03-15
¤¤¾Â¤¸«Ó¸t½Ï,°®¤¸®c,»O«n¥«¦w©w°Ï,º¹½à¤­Àç­x¤h(½à§L),9,9,56, 2022-09-09
²½¨å,¥È¸q®c,·s¥_¥«¥ÛÞä°Ï,,3,3,57, 2022-03-03
¤å¼w®c¥D¯«,¤å¼w®c,¹ü¤Æ¿¤ªÚ­b¶m,ºq¼@¹Î¡Bºî¦XÃÀ³N¹Î¡B¤ì°¸¹q¼v¼@¹Î,5,16,58, 2022-05-16
²½¨å,¸Uµ½®c,ª÷ªù¿¤ª÷«°Âí,,6,15,59, 2022-06-15
¦ò¯ª¸t½Ï,²³¦w¦x,¼ê´ò¿¤¥Õ¨F¶m,,4,8,60, 2022-04-08
¤T¤s°ê¤ý¥Í¤é,¼sºÖ®c,¹Å¸q¿¤³À¯ó¶m,,2,25,61, 2022-02-25
§õ©²¤d·³½Ï¨°,¤jÉÜ§ø«O¦w°ó,«ÌªF¿¤ªD¼d¶m,,12,2,62, 2022-12-02
²½¨å,ºÖªø®c,°ò¶©¥«¤¤¥¿°Ï,,2,2,63, 2022-02-02
²½¨å,«O¥Á·µ,·s¥_¥«Âù·Ë°Ï,,2,16,64, 2022-02-16
¥D¯«¸t½Ï,¤­µØ®c,·s¦Ë¿¤¦ËªFÂí,,1,8,65, 2022-01-08
²½¨å,µÐ´£¤s¤jªÅºëªÙ,·s¥_¥«¥ÛÞä°Ï,,4,8,66, 2022-04-08
¸t½Ï¤d¬î,ÆF¾]Ä_·µ,°ª¶¯¥«¤j¼d°Ï,,1,9,67, 2022-01-09
µ½¦æ¦x²½¨å,µ½¦æ¦x,»O«n¥«¨Î¨½°Ï,,4,8,68, 2022-04-08
³]Ãç,¼sÀÙ¼q,ª÷ªù¿¤ª÷¹ç¶m,,3,3,69, 2022-03-03
²½¨å,»Â¤s¦x,·s¥_¥«²H¤ô°Ï,,1,6,70, 2022-01-06
²½¨å,ªF¦wºÖ¼w¼q,©yÄõ¿¤Ã¹ªFÂí,,2,2,71, 2022-02-02
²½¨å,ªF¦wºÖ¼w¼q,©yÄõ¿¤Ã¹ªFÂí,,8,15,72, 2022-08-15
®c¼y,¥_·½¤Ñ¤sµL·¥ÆF¤s®c,·s¥_¥«¤K¨½°Ï,,4,22,73, 2022-04-22
´¶´ç,¥_·½¤Ñ¤sµL·¥ÆF¤s®c,·s¥_¥«¤K¨½°Ï,,7,18,74, 2022-07-18
²½¨å,«n®ü¦x,®ç¶é¥«Æ[­µ°Ï,¿ì²z·Oµ½¤ÎªÀ·|±Ð¤Æ «æÃø±Ï§U,4,8,75, 2022-04-08
²½¨å,¦èÀsÅÉ¼q,·s¥_¥«¤K¨½°Ï,,9,19,76, 2022-09-19
²½¨å,¦èÀsÅÉ¼q,·s¥_¥«¤K¨½°Ï,,6,19,77, 2022-06-19
²½¨å,¦èÀsÅÉ¼q,·s¥_¥«¤K¨½°Ï,,2,19,78, 2022-02-19
ºÖ¼w¥¿¯«¤d¬î,¤g¦a¤½¼q,«ÌªF¿¤¸U¤¦¶m,,2,2,79, 2022-02-02
¤Ñ¤W¸t¥À¸t½Ï¯¬¹Ø,¹p®¦¦æ®c,»O«n¥«¨Î¨½°Ï,(3¤ë22~23¤é) ¸t½Ï¯¬¹Ø¡B¹Î«ô¡B»w¸g¡B¤jÀ¸¡B®b¤ý¤j¨å,3,22,80, 2022-03-22
¦ö«Ò§g¸t½Ï¯¬¹Ø,¹p®¦¦æ®c,»O«n¥«¨Î¨½°Ï,(4¤ë13~14¤é) ¸t½Ï¯¬¹Ø¡B¹Î«ô¡B»w¸g¡B¤jÀ¸¡B®b¤ý¤j¨å,4,12,81, 2022-04-12
¤ýÆF¤Ñ§g¸t½Ï¯¬¹Ø,¹p®¦¦æ®c,»O«n¥«¨Î¨½°Ï,(6¤ë14~15¤é ) ¸t½Ï¯¬¹Ø¡B¹Î«ô¡B»w¸g¡B¤jÀ¸¡B®b¤ý¤j¨å,7,10,82, 2022-07-10
ºÖ¼w¥¿¯«¸t½Ï,¼yºÖ®c,»O¥_¥«¸UµØ°Ï,,2,2,83, 2022-02-02
ºÖ¼w¥¿¯«¤d¬î,¼yºÖ®c,»O¥_¥«¸UµØ°Ï,,8,15,84, 2022-08-15
Æ[­µ¦ò¯ª¸t½Ï,µL·¥¤Ñ¸t®c,»O¥_¥«¤º´ò°Ï,,2,19,85, 2022-02-19
ÄÀ­{¦ò¯ª¸U¹Ø,µL·¥¤Ñ¸t®c,»O¥_¥«¤º´ò°Ï,,4,8,86, 2022-04-08
±i§õ²ö¤T¤d·³,µL·¥¤Ñ¸t®c,»O¥_¥«¤º´ò°Ï,,6,6,87, 2022-06-06
