"activity_id","religious_group_id"
1,"2309"
2,"2309"
3,"2309"
4,"10354"
5,"4466"
6,"4466"
7,"4466"
8,"4466"
9,"4466"
10,"1392"
11,"8013"
12,"10653"
13,"10653"
14,"10653"
15,"10653"
16,"10653"
17,"10653"
18,"10653"
19,"10653"
20,"10653"
21,"10653"
22,"5407"
23,"5188"
24,"8144"
25,"4503"
26,"4432"
27,"4432"
28,"11588"
29,"7506"
30,"1722"
31,"53"
32,"8172"
33,"5913"
34,"5913"
35,"5913"
36,"5913"
37,"5913"
38,"5678"
39,"1984"
40,"7726"
41,"7726"
42,"7726"
43,"7726"
44,"7726"
45,"2"
46,"2"
47,"2"
48,"2"
49,"773"
50,"7313"
51,"7313"
52,"7313"
53,"4583"
54,"2503"
55,"300"
56,"300"
57,"9810"
58,"875"
59,"10687"
60,"12418"
61,"561"
62,"1727"
63,"2183"
64,"4197"
65,"10306"
66,"5941"
67,"1408"
68,"11744"
69,"11996"
70,"7420"
71,"7418"
72,"7418"
73,"1400"
74,"1400"
75,"11985"
76,"7854"
77,"7854"
78,"7854"
79,"987"
80,"2737"
81,"2737"
82,"2737"
83,"6372"
84,"6372"
85,"4830"
86,"4830"
87,"4830"
88,"3919"
89,"1562"
90,"11914"
91,"11914"
92,"7425"
93,"2816"
94,"11891"
95,"11891"
96,"11891"
97,"5896"
98,"1081"
99,"994"
100,"994"
101,"135"
102,"2160"
103,"2160"
104,"2160"
105,"2160"
106,"2160"
107,"65"
108,"65"
109,"4581"
110,"9685"
111,"7328"
112,"8373"
113,"10543"
114,"9533"
115,"471"
116,"471"
117,"1100"
118,"1100"
119,"1100"
120,"5567"
121,"8222"
122,"8222"
123,"8222"
124,"3623"
125,"3623"
126,"32"
127,"7394"
128,"7394"
129,"7394"
130,"12618"
131,"17"
132,"6088"
133,"1728"
134,"12188"
135,"9207"
136,"2460"
137,"8865"
138,"8865"
139,"7460"
140,"1507"
141,"1507"
142,"17"
143,"2202"
144,"2605"
145,"9359"
146,"9359"
147,"9359"
148,"9359"
149,"9359"
150,"9359"
151,"10427"
152,"10427"
153,"10427"
154,"10427"
155,"5931"
156,"5931"
157,"5931"
158,"5931"
159,"3146"
160,"3146"
161,"3146"
162,"135"
163,"7087"
164,"860"
165,"8842"
166,"1969"
167,"2481"
168,"2481"
169,"2481"
170,"2209"
171,"2209"
172,"2209"
173,"5351"
174,"5351"
175,"5351"
176,"11133"
177,"5039"
178,"11610"
179,"3314"
180,"376"
181,"9200"
182,"9200"
183,"9200"
184,"7926"
185,"6922"
186,"6922"
187,"11906"
188,"7257"
189,"11017"
190,"6350"
191,"351"
192,"8370"
193,"180"
194,"8034"
195,"8895"
196,"4877"
197,"4877"
198,"4877"
199,"4268"
200,"4268"
201,"12626"
202,"5512"
203,"8965"
204,"166"
205,"1785"
206,"4541"
207,"4541"
208,"4541"
209,"5322"
210,"633"
211,"633"
212,"633"
213,"633"
214,"12814"
215,"12814"
216,"2004"
217,"2004"
218,"8026"
219,"1086"
220,"1233"
221,"2715"
222,"2715"
223,"2715"
224,"6115"
225,"3103"
226,"3717"
227,"2491"
228,"166"
229,"7179"
230,"2449"
231,"2449"
232,"11291"
233,"7523"
234,"385"
235,"12453"
236,"9706"
237,"300"
238,"1741"
239,"597"
240,"6188"
241,"166"
242,"2226"
243,"12878"
244,"12878"
245,"12878"
246,"4942"
247,"4942"
248,"10272"
249,"10557"
250,"7241"
251,"2786"
252,"2786"
253,"242"
254,"242"
255,"242"
256,"242"
257,"242"
258,"242"
259,"242"
260,"4351"
261,"11231"
262,"7497"
263,"8824"
264,"377"
265,"377"
266,"1373"
267,"846"
268,"1389"
269,"3693"
270,"817"
271,"1526"
272,"178"
273,"764"
274,"10629"
275,"11733"
276,"10814"
277,"510"
278,"510"
279,"510"
280,"510"
281,"129"
282,"129"
283,"129"
284,"129"
285,"129"
286,"129"
287,"487"
288,"487"
289,"6745"
290,"388"
291,"10015"
292,"10015"
293,"10015"
294,"3403"
295,"3403"
296,"3403"
297,"3403"
298,"10807"
299,"9402"
300,"12178"
301,"2347"
302,"6927"
303,"3148"
304,"2349"
305,"18"
306,"2721"
307,"6550"
308,"8520"
309,"9009"
310,"1059"
311,"1134"
312,"1134"
313,"1134"
314,"1926"
315,"73"
316,"73"
317,"814"
318,"5442"
319,"4153"
320,"1299"
321,"3171"
322,"12179"
323,"12179"
324,"5572"
325,"10115"
326,"2282"
327,"7308"
328,"8094"
329,"8094"
330,"10375"
331,"7894"
332,"6893"
333,"4113"
334,"4113"
335,"11959"
336,"11959"
337,"2480"
338,"2480"
339,"339"
340,"339"
341,"3103"
342,"3865"
343,"9042"
344,"9997"
345,"9997"
346,"5582"
347,"2873"
348,"2873"
349,"9761"
350,"9761"
351,"2641"
352,"3882"
353,"3882"
354,"3882"
355,"3882"
356,"8188"
357,"8188"
358,"8188"
359,"178"
360,"2546"
361,"9573"
362,"184"
363,"1419"
364,"8939"
365,"1448"
366,"5271"
367,"1906"
368,"3090"
369,"3090"
370,"1018"
371,"10992"
372,"201"
373,"2630"
374,"5477"
375,"6732"
376,"56"
377,"56"
378,"56"
379,"4918"
380,"630"
381,"2257"
382,"5873"
383,"12644"
384,"8535"
385,"376"
386,"80"
387,"80"
388,"11951"
389,"528"
390,"5407"
391,"7628"
392,"8136"
393,"7855"
394,"5051"
395,"2480"
396,"7760"
397,"7760"
398,"7760"
399,"4787"
400,"116"
401,"1988"
402,"7337"
403,"29"
404,"855"
405,"7126"
406,"12756"
407,"12756"
408,"12662"
409,"11924"
410,"721"
411,"721"
412,"721"
413,"11969"
414,"104"
415,"5558"
416,"5558"
417,"5558"
418,"5558"
419,"5558"
420,"5558"
421,"5558"
422,"9706"
423,"616"
424,"4455"
425,"6713"
426,"1564"
427,"12057"
428,"1660"
429,"5327"
430,"5152"
431,"7510"
432,"7510"
433,"7510"
434,"467"
435,"9476"
436,"9476"
437,"9476"
438,"9476"
439,"9476"
440,"135"
441,"3243"
442,"3243"
443,"3243"
444,"180"
445,"1770"
446,"5257"
447,"2740"
448,"885"
449,"10556"
450,"7452"
451,"7452"
452,"166"
453,"166"
454,"3922"
455,"5655"
456,"12057"
457,"12057"
458,"3678"
459,"3678"
460,"3678"
461,"1012"
462,"1012"
463,"10553"
464,"10553"
465,"12183"
466,"1526"
467,"2559"
468,"2346"
469,"2346"
470,"2346"
471,"2250"
472,"5484"
473,"7969"
474,"2774"
475,"3786"
476,"704"
477,"7812"
478,"465"
479,"8983"
480,"9794"
481,"8678"
482,"5735"
483,"311"
484,"311"
485,"12123"
486,"6215"
487,"4238"
488,"7503"
489,"3012"
490,"11679"
491,"135"
492,"10986"
493,"10362"
