"name","authorities","region","address","telephone","principal","religion","main_deity","religious_group_id","religion_id","main_deity_id"
"竹圍仔福德祠","臺南市政府","臺南市白河區","大竹里14鄰大排竹206號","06-6851562","錢玉珠","道教","福德正神",1,"1","1"
"福德祠","臺南市政府","臺南市白河區","河東里3鄰糞箕湖33之2號","06-6858651","吳朝正","道教","福德正神",2,"1","1"
"紫雲觀","臺中市政府","臺中市后里區","中和里中正路140號","04-25566801","侯錦朝","道教","觀世音菩薩",3,"1","2"
"永安宮","臺南市政府","臺南市麻豆區","北勢里3鄰加輦邦29號","06-5719598","郭芳財","道教","石府千歲",4,"1","3"
"大埤福德廟","宜蘭縣政府","宜蘭縣冬山鄉","安平村安平路346號對面","03-9593889","李汪文","道教","福德正神",5,"1","1"
"蘭陽南海宮","宜蘭縣政府","宜蘭縣冬山鄉","中山村中山二路223號","03-9587103","何登和","道教","九天娘娘",6,"1","4"
"蘭陽太和宮","宜蘭縣政府","宜蘭縣冬山鄉","八寶村八寶路172號","03-9581599","羅朝生","道教","福德正神",7,"1","1"
"崑山福德祠","臺中市政府","臺中市新社區","崑山里崑南街82-2號","04-25811482","陳清益","道教","福德正神",8,"1","1"
"花蓮般若精舍","花蓮縣政府","花蓮縣瑞穗鄉","富興村154-1號","03-8876657","釋印可","佛教","釋迦牟尼佛",9,"2","5"
"法蓮廟","新竹市政府","新竹市北區","福林里3鄰東大路二段375巷9號","03-5315686","劉醇富","佛教","觀音",10,"2","6"
"清玨宮","高雄市政府","高雄市梓官區","智蚵里中正路239-20號","07-6102479","曾夏明","道教","步道祖師",11,"1","7"
"茄苳坑北極宮","高雄市政府","高雄市梓官區","茄苳里嘉展路420號","07-6176389","蔡天文","道教","玄天上帝",12,"1","8"
"天福宮","彰化縣政府","彰化縣和美鎮","嘉寶里福北路221號","04-7563589","李福煙","道教","伏羲氏",13,"1","9"
"鎮華宮","雲林縣政府","雲林縣莿桐鄉","五華村湖內57-1號","05-5710308","施永仁","道教","五府千歲",14,"1","10"
"聖母宮","雲林縣政府","雲林縣莿桐鄉","四合村后埔3鄰1-7號","093-2969084","莊鐘亮","道教","天上聖母",15,"1","11"
"普恩廟","宜蘭縣政府","宜蘭縣員山鄉","逸仙村大安路121號","03-9226251","陳舜郎","道教","三山國王",16,"1","12"
"福壽宮","高雄市政府","高雄市旗津區","旗津三路954巷11之1號","07-5715484","王天德","道教","劉府千歲",17,"1","13"
"旗津天后宮","高雄市政府","高雄市旗津區","廟前路93號","07-5712115","陳冠銘","道教","天上聖母",18,"1","11"
"溫府正修堂","屏東縣政府","屏東縣東港鎮","東隆里光復路3段191-1號","08-8325318","許清水","道教","溫府千歲",19,"1","14"
"萬善堂","屏東縣政府","屏東縣東港鎮","共和里共興一街1號","08-8351356","謝慶雄","道教","萬善公",20,"1","15"
"四聖宮","彰化縣政府","彰化縣埔鹽鄉","新水村大新路臨5-18號","04-8650270","施金雄","道教","媽祖",21,"1","16"
"珍珠福德廟","宜蘭縣政府","宜蘭縣冬山鄉","順安村鹿安路347號","03-9680382","林煜添","道教","福德正神",22,"1","1"
"福德宮","雲林縣政府","雲林縣虎尾鎮","立仁里復興路128號","05-6324977","黃昭良","道教","福德正神",23,"1","1"
"福德爺宮","雲林縣政府","雲林縣虎尾鎮","延平里下南14-6號","05-6623009","郭勝全","道教","福德正神",24,"1","1"
"淨律寺","南投縣政府","南投縣鹿谷鄉","初鄉村中村巷27之2號","049-2754356","白翔光","佛教","西方三聖",25,"2","17"
"慈仁淨苑","高雄市政府","高雄市甲仙區","關山里嘉雲巷22號","07-6751436","劉英治(釋淨明)","佛教","釋迦牟尼佛",26,"2","5"
"宇宙光普音寺","臺南市政府","臺南市白河區","大林里檨子林5之6號","06-6857103","蔣龍山","佛教","觀世音菩薩",27,"2","2"
"萬福宮","臺南市政府","臺南市麻豆區","新建里4鄰興民街83號","06-5727064","王村勝","道教","張府千歲",28,"1","18"
"福安宮","臺中市政府","臺中市烏日區","學田路329號","04-23373498","劉溪泉","道教","福德正神",29,"1","1"
"竹山寺","臺中市政府","臺中市烏日區","中山路三段登寺巷168號","04-23363732","黃深根","道教","觀音佛祖",30,"1","19"
"民安福德廟","宜蘭縣政府","宜蘭縣冬山鄉","安平村大安路715巷20號旁","03-954025","高士倫","道教","福德正神",31,"1","1"
"保安宮","臺中市政府","臺中市新社區","東湖街一段101號","04-25811997","陳宗永","道教","廣澤尊王",32,"1","20"
"天成宮","新竹市政府","新竹市北區","磐石里6鄰西大路643巷20號","03-5219409","陳薇郎","一貫道","明明上帝",33,"3","21"
"法龍寺","苗栗縣政府","苗栗縣西湖鄉","高埔村6鄰3號","037-981860","劉新理","佛教","觀音佛祖",34,"2","19"
"龍興堂","高雄市政府","高雄市梓官區","禮蚵里光明路92巷16號","07-6178491","黃義榮","道教","觀音佛祖",35,"1","19"
"淨華寺","高雄市政府","高雄市梓官區","赤崁里赤崁東路55號","07-6101118","陳嘉偉(釋新定)","佛教","釋迦牟尼佛",36,"2","5"
"東港鎮鎮南宮","屏東縣政府","屏東縣東港鎮","新勝里新勝街19號","08-8354599","李慶助","道教","李府千歲",37,"1","22"
"共和堂","屏東縣政府","屏東縣東港鎮","共和街17-1號","08-8325833","張瑞興","道教","刑王爺",38,"1","23"
"妙善堂","宜蘭縣政府","宜蘭縣員山鄉","七賢村賢德路一段82號","03-9231480","周仲男","道教","地母至尊",39,"1","24"
"福德祠","宜蘭縣政府","宜蘭縣員山鄉","湖北村大湖路19號附近","","李文添","道教","土地公",40,"1","25"
"泉州宮","臺中市政府","臺中市后里區","后里里泉州路14-6號","04-25588766","周義成","道教","天上聖母",41,"1","11"
"中洲靈聖宮","高雄市政府","高雄市旗津區","中洲一路937之1號","07-5718666","池明川","道教","天上聖母",42,"1","11"
"屏東縣東港鎮東南宮","屏東縣政府","屏東縣東港鎮","東隆里共和街1號","08-8321623","許振生","道教","劉府千歲",43,"1","13"
"清元宮","屏東縣政府","屏東縣南州鄉","壽元村壽元路64-3號","08-8643198","徐榮坤","道教","朱府千歲",44,"1","26"
"彌陀寺","屏東縣政府","屏東縣南州鄉","溪南村人和路3巷6號","08-8641530","陳耀仁","道教","釋迦牟尼佛",45,"1","5"
"定安宮","宜蘭縣政府","宜蘭縣冬山鄉","冬山村冬山路305號","03-9594376","黃強呈","道教","天上聖母",46,"1","11"
"路竹天后宮","高雄市政府","高雄市路竹區","竹東里中山路1015號","07-6966417","林景星","道教","媽祖",47,"1","16"
"安泰寺","雲林縣政府","雲林縣虎尾鎮","延平里中南19號","05-6320872","周章鉰","道教","清水祖師",48,"1","27"
"聖母宮","雲林縣政府","雲林縣虎尾鎮","頂溪里頂溪87之2號","05-6222700","賴金夆","道教","六房天上聖母",49,"1","28"
"正醒禪苑","南投縣政府","南投縣埔里鎮","福興里大坑巷10號","049-2933238","賴素齡","佛教","釋迦牟尼佛",50,"2","5"
"西方淨苑","南投縣政府","南投縣埔里鎮","福興里3鄰福長路12巷53號","049-2930422","吳桂英","佛教","阿彌陀佛",51,"2","29"
"善主公廟","臺南市政府","臺南市白河區","番子園竹門里13鄰20-17號","06-6850393","林次郎","道教","善主公",52,"1","30"
"大安宮","臺南市政府","臺南市白河區","廣蓮里9鄰8-16號","06-6877457","黃元利","道教","保生大帝",53,"1","31"
"護濟宮","臺南市政府","臺南市麻豆區","新興里光復路106號","06-5720993","洪昭清","道教","天上聖母",54,"1","11"
"麻豆海埔池王府","臺南市政府","臺南市麻豆區","海埔里12鄰海埔80-1號","06-5701256","張憲成","道教","五府千歲",55,"1","10"
